Judul;Penerbit;Link;Tanggal Published;;
Trump tidak menutup kemungkinan perundingan dengan Iran;Antara News;https://www.antaranews.com/berita/5466367/trump-tidak-menutup-kemungkinan-perundingan-dengan-iran;52 menit lalu;;
"Iran tolak gencatan senjata hingga ""agresor"" diberi pelajaran";Antara News;https://www.antaranews.com/berita/5466135/iran-tolak-gencatan-senjata-hingga-agresor-diberi-pelajaran;2 jam lalu;;
"Iran tolak gencatan senjata sampai agresor dapat ""pelajaran""";Antara News;https://www.antaranews.com/berita/5466127/iran-tolak-gencatan-senjata-sampai-agresor-dapat-pelajaran;2 jam lalu;;
Qatar bantah putus komunikasi dengan Iran;Antara News;https://www.antaranews.com/berita/5466075/qatar-bantah-putus-komunikasi-dengan-iran;2 jam lalu;;
Warga Iran nyatakan sumpah setia kepada Mojtaba Khamenei;Antara News;https://www.antaranews.com/berita/5465811/warga-iran-nyatakan-sumpah-setia-kepada-mojtaba-khamenei;4 jam lalu;;
Saudi sampaikan duka atas kematian tentara Kuwait dan UEA;Antara News;https://www.antaranews.com/berita/5465659/saudi-sampaikan-duka-atas-kematian-tentara-kuwait-dan-uea;5 jam lalu;;
Erdogan: Pelanggaran terhadap wilayah udara Turki tak bisa ditoleransi;Antara News;https://www.antaranews.com/berita/5465303/erdogan-pelanggaran-terhadap-wilayah-udara-turki-tak-bisa-ditoleransi;7 jam lalu;;
Belanda kerahkan kapal perang ke Mediterania atas permintaan Prancis;Antara News;https://www.antaranews.com/berita/5465207/belanda-kerahkan-kapal-perang-ke-mediterania-atas-permintaan-prancis;7 jam lalu;;
Trump akan longgarkan sanksi minyak untuk manipulasi harga;Antara News;https://www.antaranews.com/berita/5464915/trump-akan-longgarkan-sanksi-minyak-untuk-manipulasi-harga;9 jam lalu;;
Ketua DPR RI sampaikan duka cita atas gugurnya Ali Khamenei;Antara News;https://www.antaranews.com/berita/5464495/ketua-dpr-ri-sampaikan-duka-cita-atas-gugurnya-ali-khamenei;12 jam lalu;;
Senator kubu Demokrat AS minta selidiki serangan ke sekolah Iran;Antara News;https://www.antaranews.com/berita/5464047/senator-kubu-demokrat-as-minta-selidiki-serangan-ke-sekolah-iran;22 jam lalu;;
Warga gembira sambut Mojtaba terpilih jadi Pemimpin Tertinggi Iran;Antara News;https://www.antaranews.com/video/5463895/warga-gembira-sambut-mojtaba-terpilih-jadi-pemimpin-tertinggi-iran;23 jam lalu;;
Negara-negara Asia siapkan langkah darurat imbas konflik Timur Tengah;Antara News;https://www.antaranews.com/berita/5463623/negara-negara-asia-siapkan-langkah-darurat-imbas-konflik-timur-tengah;Kemarin 22:03;;
Kedubes sebut pemilihan Mojtaba Khamenei tunjukkan kekuatan sistem;Antara News;https://www.antaranews.com/berita/5463551/kedubes-sebut-pemilihan-mojtaba-khamenei-tunjukkan-kekuatan-sistem;Kemarin 21:39;;
Lebanon siap lanjutkan negosiasi dengan Israel;Antara News;https://www.antaranews.com/berita/5463507/lebanon-siap-lanjutkan-negosiasi-dengan-israel;Kemarin 21:18;;
Mojtaba Khamenei gantikan ayahnya sebagai pemimpin tertinggi Iran;Antara News;https://www.antaranews.com/video/5463295/mojtaba-khamenei-gantikan-ayahnya-sebagai-pemimpin-tertinggi-iran;Kemarin 21:04;;
Sedikitnya 10 orang tewas ; 6 terluka akibat serangan Israel di Lebanon;Antara News;https://www.antaranews.com/berita/5463443/sedikitnya-10-orang-tewas-6-terluka-akibat-serangan-israel-di-lebanon;Kemarin 20:45;
IRGC nyatakan kesetiaan kepada Pemimpin Tertinggi baru Iran;Antara News;https://www.antaranews.com/berita/5462639/irgc-nyatakan-kesetiaan-kepada-pemimpin-tertinggi-baru-iran;Kemarin 15:13;;
Iran: Serangan AS-Israel terhadap depot minyak kejahatan perang;Antara News;https://www.antaranews.com/berita/5462507/iran-serangan-as-israel-terhadap-depot-minyak-kejahatan-perang;Kemarin 14:11;;
"Trump klaim harga minyak akan turun jika Iran hapus ""ancaman nuklir""";Antara News;https://www.antaranews.com/berita/5462347/trump-klaim-harga-minyak-akan-turun-jika-iran-hapus-ancaman-nuklir;Kemarin 13:18;;
Profil - Mojtaba Khamenei; pemimpin tertinggi baru Iran;Antara News;https://www.antaranews.com/berita/5462275/profil-mojtaba-khamenei-pemimpin-tertinggi-baru-iran;Kemarin 12:51;
Mojtaba Khamenei resmi menjadi Pemimpin Tertinggi baru Iran;Antara News;https://www.antaranews.com/berita/5462075/mojtaba-khamenei-resmi-menjadi-pemimpin-tertinggi-baru-iran;Kemarin 11:21;;
Dalam sepekan; 394 warga Lebanon tewas akibat serangan Israel;Antara News;https://www.antaranews.com/berita/5461947/dalam-sepekan-394-warga-lebanon-tewas-akibat-serangan-israel;Kemarin 10:14;
Mojtaba Khamenei jadi pemimpin tertinggi Iran; IRGC nyatakan kesetiaan;Antara News;https://www.antaranews.com/berita/5461919/mojtaba-khamenei-jadi-pemimpin-tertinggi-iran-irgc-nyatakan-kesetiaan;Kemarin 09:57;
Rupiah Senin melemah terseret lonjakan harga minyak dunia;Antara News;https://www.antaranews.com/berita/5461907/rupiah-senin-melemah-terseret-lonjakan-harga-minyak-dunia;Kemarin 09:47;;
IHSG melemah ikuti bursa Asia imbas lonjakan harga minyak global;Antara News;https://www.antaranews.com/berita/5461851/ihsg-melemah-ikuti-bursa-asia-imbas-lonjakan-harga-minyak-global;Kemarin 09:15;;
Kelompok pemantau: Pemadaman internet di Iran memasuki pekan kedua;Antara News;https://www.antaranews.com/berita/5461435/kelompok-pemantau-pemadaman-internet-di-iran-memasuki-pekan-kedua;8 Maret 2026;;
Pejabat keamanan Iran klaim tentara AS ditangkap; Washington membantah;Antara News;https://www.antaranews.com/berita/5461415/pejabat-keamanan-iran-klaim-tentara-as-ditangkap-washington-membantah;8 Maret 2026;
IRGC: Iran mampu lakukan operasi tempur intensif selama 6 bulan;Antara News;https://www.antaranews.com/berita/5461307/irgc-iran-mampu-lakukan-operasi-tempur-intensif-selama-6-bulan;8 Maret 2026;;
AS mulai gunakan pangkalan Inggris untuk operasi 'pertahanan' ke Iran;Antara News;https://www.antaranews.com/berita/5460491/as-mulai-gunakan-pangkalan-inggris-untuk-operasi-pertahanan-ke-iran;8 Maret 2026;;
Parlemen Iran: Timur Tengah tak akan damai jika pangkalan AS masih ada;Antara News;https://www.antaranews.com/berita/5460383/parlemen-iran-timur-tengah-tak-akan-damai-jika-pangkalan-as-masih-ada;8 Maret 2026;;
Warga Jepang protes serangan AS-Israel terhadap Iran;Antara News;https://www.antaranews.com/berita/5460123/warga-jepang-protes-serangan-as-israel-terhadap-iran;7 Maret 2026;;
China dikabarkan mulai dukung Iran dalam konflik dengan AS-Israel;Antara News;https://www.antaranews.com/berita/5459607/china-dikabarkan-mulai-dukung-iran-dalam-konflik-dengan-as-israel;7 Maret 2026;;
"Trump tuntut Iran ""menyerah tanpa syarat""";Antara News;https://www.antaranews.com/berita/5458411/trump-tuntut-iran-menyerah-tanpa-syarat;6 Maret 2026;;
Trump sebut AS pastikan Iran tak akan mengancam;Antara News;https://www.antaranews.com/berita/5457479/trump-sebut-as-pastikan-iran-tak-akan-mengancam;6 Maret 2026;;
Serangan udara Israel hantam Beirut Selatan usai peringatan evakuasi;Antara News;https://www.antaranews.com/berita/5457167/serangan-udara-israel-hantam-beirut-selatan-usai-peringatan-evakuasi;6 Maret 2026;;
Cek fakta; foto Pimpinan Tertinggi Iran Ayatollah Ali Khamenei gugur tertimpa reruntuhan;Antara News;https://www.antaranews.com/berita/5456163/cek-fakta-foto-pimpinan-tertinggi-iran-ayatollah-ali-khamenei-gugur-tertimpa-reruntuhan;6 Maret 2026;
Hizbullah janjikan perlawanan dan klaim serangan terhadap Israel;Antara News;https://www.antaranews.com/berita/5454123/hizbullah-janjikan-perlawanan-dan-klaim-serangan-terhadap-israel;5 Maret 2026;;
Bahlil jamin RI untung meski impor minyak dari AS saat harga naik;Antara News;https://www.antaranews.com/berita/5453879/bahlil-jamin-ri-untung-meski-impor-minyak-dari-as-saat-harga-naik;5 Maret 2026;;
China akan kirim utusan ke Timur Tengah upayakan mediasi;Antara News;https://www.antaranews.com/berita/5453855/china-akan-kirim-utusan-ke-timur-tengah-upayakan-mediasi;5 Maret 2026;;
Menteri Bahlil: Impor minyak dari AS sudah berlangsung;Antara News;https://www.antaranews.com/berita/5453839/menteri-bahlil-impor-minyak-dari-as-sudah-berlangsung;5 Maret 2026;;
Menteri Bahlil: Sudah ada investor untuk bangun storage minyak mentah;Antara News;https://www.antaranews.com/berita/5453175/menteri-bahlil-sudah-ada-investor-untuk-bangun-storage-minyak-mentah;4 Maret 2026;;
Korban tewas serangan AS di Iran capai 1.045 orang;Antara News;https://www.antaranews.com/berita/5452739/korban-tewas-serangan-as-di-iran-capai-1045-orang;4 Maret 2026;;
Garda Revolusi Iran klaim serang markas IDF; Kemhan Israel;Antara News;https://www.antaranews.com/berita/5452147/garda-revolusi-iran-klaim-serang-markas-idf-kemhan-israel;4 Maret 2026;
Garda Revolusi Iran: Serangan AS-Israel takkan dibiarkan tanpa balasan;Antara News;https://www.antaranews.com/berita/5451375/garda-revolusi-iran-serangan-as-israel-takkan-dibiarkan-tanpa-balasan;4 Maret 2026;;
Trump: AS tawarkan pengawalan kapal tanker di Teluk Persia;Antara News;https://www.antaranews.com/berita/5451263/trump-as-tawarkan-pengawalan-kapal-tanker-di-teluk-persia;4 Maret 2026;;
Konflik Timteng;" Pemprov Jawa Barat  buka ""hotline"" darurat";Antara News;https://www.antaranews.com/berita/5450691/konflik-timteng-pemprov-jawa-barat-buka-hotline-darurat;4 Maret 2026;
Jabar siaga penuh tunggu instruksi evakuasi WNI di Timur Tengah;Antara News;https://www.antaranews.com/berita/5450675/jabar-siaga-penuh-tunggu-instruksi-evakuasi-wni-di-timur-tengah;4 Maret 2026;;
Bahlil akan tambah kapasitas stok BBM dari 25 hari jadi 90 hari;Antara News;https://www.antaranews.com/berita/5450671/bahlil-akan-tambah-kapasitas-stok-bbm-dari-25-hari-jadi-90-hari;4 Maret 2026;;
Kilang Aramco ditutup; Indonesia alihkan impor LPG dari Timur Tengah;Antara News;https://www.antaranews.com/berita/5449967/kilang-aramco-ditutup-indonesia-alihkan-impor-lpg-dari-timur-tengah;3 Maret 2026;
Bahlil: Harga BBM subsidi tidak naik meski harga minyak dunia meroket;Antara News;https://www.antaranews.com/berita/5449865/bahlil-harga-bbm-subsidi-tidak-naik-meski-harga-minyak-dunia-meroket;3 Maret 2026;;
Perang AS-Iran; Indonesia hitung dampak lonjakan harga minyak ke APBN;Antara News;https://www.antaranews.com/berita/5449826/perang-as-iran-indonesia-hitung-dampak-lonjakan-harga-minyak-ke-apbn;3 Maret 2026;
Indonesia alihkan sebagian impor minyak mentah dari Timur Tengah ke AS;Antara News;https://www.antaranews.com/berita/5449802/indonesia-alihkan-sebagian-impor-minyak-mentah-dari-timur-tengah-ke-as;3 Maret 2026;;
OJK minta LJK antisipasi dampak rambatan konflik di Timur Tengah;Antara News;https://www.antaranews.com/berita/5449748/ojk-minta-ljk-antisipasi-dampak-rambatan-konflik-di-timur-tengah;3 Maret 2026;;
Komando Pusat AS umumkan 6 personelnya tewas dalam operasi di Iran;Antara News;https://www.antaranews.com/berita/5449194/komando-pusat-as-umumkan-6-personelnya-tewas-dalam-operasi-di-iran;3 Maret 2026;;
AS desak warganya tinggalkan Timur Tengah hindari risiko keamanan;Antara News;https://www.antaranews.com/berita/5449154/as-desak-warganya-tinggalkan-timur-tengah-hindari-risiko-keamanan;3 Maret 2026;;
NU; Muhammadiyah; dan lentera moral di langit Timur Tengah;Antara News;https://www.antaranews.com/berita/5448950/nu-muhammadiyah-dan-lentera-moral-di-langit-timur-tengah;3 Maret 2026
Menlu China konsolidasi langkah lanjutan dengan Iran; Oman dan Prancis;Antara News;https://www.antaranews.com/berita/5448706/menlu-china-konsolidasi-langkah-lanjutan-dengan-iran-oman-dan-prancis;3 Maret 2026;
Seorang warga China di Iran tewas akibat serangan AS-Israel;Antara News;https://www.antaranews.com/berita/5448550/seorang-warga-china-di-iran-tewas-akibat-serangan-as-israel;3 Maret 2026;;
AS-Israel serang Iran; ketakutan akan Perang Dunia III menggema;Antara News;https://www.antaranews.com/berita/5448418/as-israel-serang-iran-ketakutan-akan-perang-dunia-iii-menggema;3 Maret 2026;
Dubes Iran jelaskan proses transisi dari kepemimpinan Ali Khamenei;Antara News;https://www.antaranews.com/video/5448246/dubes-iran-jelaskan-proses-transisi-dari-kepemimpinan-ali-khamenei;2 Maret 2026;;
Istri Ali Khamenei wafat usai serangan AS-Israel terhadap target Iran;Antara News;https://www.antaranews.com/berita/5448082/istri-ali-khamenei-wafat-usai-serangan-as-israel-terhadap-target-iran;2 Maret 2026;;
Lebih dari 2.000 lokasi di Iran dibombardir Amerika Serikat dan Israel;Antara News;https://www.antaranews.com/berita/5447610/lebih-dari-2000-lokasi-di-iran-dibombardir-amerika-serikat-dan-israel;2 Maret 2026;;
Korban tewas akibat serangan AS-Israel di Iran capai 555 orang;Antara News;https://www.antaranews.com/berita/5447598/korban-tewas-akibat-serangan-as-israel-di-iran-capai-555-orang;2 Maret 2026;;
Trump serukan warga Iran memanfaatkan momentum untuk bangkit;Antara News;https://www.antaranews.com/berita/5447102/trump-serukan-warga-iran-memanfaatkan-momentum-untuk-bangkit;2 Maret 2026;;
Iran bantah akan bernegosiasi dengan Amerika Serikat;Antara News;https://www.antaranews.com/berita/5447074/iran-bantah-akan-bernegosiasi-dengan-amerika-serikat;2 Maret 2026;;
Iran bertekad terus berjuang;Antara News;https://www.antaranews.com/berita/5446906/iran-bertekad-terus-berjuang;2 Maret 2026;;
Trump sepakat lanjutkan perundingan dengan kepemimpinan baru Iran;Antara News;https://www.antaranews.com/berita/5446894/trump-sepakat-lanjutkan-perundingan-dengan-kepemimpinan-baru-iran;2 Maret 2026;;
Timur Tengah di titik panas baru;Antara News;https://www.antaranews.com/berita/5446726/timur-tengah-di-titik-panas-baru;2 Maret 2026;;
Indef: Konflik AS-Israel dan Iran dorong kenaikan biaya logistik RI;Antara News;https://www.antaranews.com/berita/5446634/indef-konflik-as-israel-dan-iran-dorong-kenaikan-biaya-logistik-ri;2 Maret 2026;;
Trump pastikan AS akan terus serang Iran dengan kekuatan penuh;Antara News;https://www.antaranews.com/berita/5446370/trump-pastikan-as-akan-terus-serang-iran-dengan-kekuatan-penuh;2 Maret 2026;;
Trump klaim pasukan AS tenggelamkan sembilan kapal perang Iran;Antara News;https://www.antaranews.com/berita/5446342/trump-klaim-pasukan-as-tenggelamkan-sembilan-kapal-perang-iran;2 Maret 2026;;
Konflik Iran dengan AS-Israel; BI pastikan rupiah sesuai fundamental;Antara News;https://www.antaranews.com/berita/5446246/konflik-iran-dengan-as-israel-bi-pastikan-rupiah-sesuai-fundamental;2 Maret 2026;
Menlu China telepon Menlu Rusia; bicarakan solusi untuk Iran;Antara News;https://www.antaranews.com/berita/5446150/menlu-china-telepon-menlu-rusia-bicarakan-solusi-untuk-iran;2 Maret 2026;
Ribuan warga Iran berkabung atas tewasnya Pemimpin Tertinggi Ayatollah Ali Khamenei;Antara News;https://www.antaranews.com/foto/5446082/ribuan-warga-iran-berkabung-atas-tewasnya-pemimpin-tertinggi-ayatollah-ali-khamenei;2 Maret 2026;;
IRGC nyatakan 560 tentara AS tewas; luka-luka dalam serangan balasan;Antara News;https://www.antaranews.com/berita/5446014/irgc-nyatakan-560-tentara-as-tewas-luka-luka-dalam-serangan-balasan;2 Maret 2026;
Rakyat Iran berkabung atas kematian Khamenei dalam serangan AS-Israel;Antara News;https://www.antaranews.com/berita/5445986/rakyat-iran-berkabung-atas-kematian-khamenei-dalam-serangan-as-israel;2 Maret 2026;;
Khamenei tewas; China sebut serangan atas Iran langgar kedaulatan;Antara News;https://www.antaranews.com/berita/5445514/khamenei-tewas-china-sebut-serangan-atas-iran-langgar-kedaulatan;1 Maret 2026;
Massa pro-Iran terobos Konsulat AS di Karachi; sembilan tewas;Antara News;https://www.antaranews.com/berita/5445486/massa-pro-iran-terobos-konsulat-as-di-karachi-sembilan-tewas;1 Maret 2026;
Tapak tilas Ali Khamenei; pengawal Revolusi Iran selama 3 dasawarsa;Antara News;https://www.antaranews.com/berita/5445406/tapak-tilas-ali-khamenei-pengawal-revolusi-iran-selama-3-dasawarsa;1 Maret 2026;
Jejak 3 dekade Ali Khamenei pimpin Iran;Antara News;https://www.antaranews.com/infografik/5445370/jejak-3-dekade-ali-khamenei-pimpin-iran;1 Maret 2026;;
Iran tunjuk Ahmad Vahidi jadi komandan IRGC seusai wafatnya Pakpour;Antara News;https://www.antaranews.com/berita/5445326/iran-tunjuk-ahmad-vahidi-jadi-komandan-irgc-seusai-wafatnya-pakpour;1 Maret 2026;;
Menilik situasi di Tel Aviv usai Iran lancarkan serangan balasan;Antara News;https://www.antaranews.com/berita/5445186/menilik-situasi-di-tel-aviv-usai-iran-lancarkan-serangan-balasan;1 Maret 2026;;
Ahli: Transisi pemimpin Iran tetap lancar meski ada serangan AS-Israel;Antara News;https://www.antaranews.com/berita/5445094/ahli-transisi-pemimpin-iran-tetap-lancar-meski-ada-serangan-as-israel;1 Maret 2026;;
Warga Iran gelar demo kutuk AS dan Israel atas kematian Khamenei;Antara News;https://www.antaranews.com/berita/5445030/warga-iran-gelar-demo-kutuk-as-dan-israel-atas-kematian-khamenei;1 Maret 2026;;
CORE: Konflik Iran-Israel bisa picu lonjakan harga minyak dunia;Antara News;https://www.antaranews.com/berita/5444842/core-konflik-iran-israel-bisa-picu-lonjakan-harga-minyak-dunia;1 Maret 2026;;
Trump umumkan Pemimpin Tertinggi Iran Ali Khamenei tewas;Antara News;https://www.antaranews.com/video/5444810/trump-umumkan-pemimpin-tertinggi-iran-ali-khamenei-tewas;1 Maret 2026;;
Iran tetapkan otoritas kepemimpinan sementara usai Ali Khamenei gugur;Antara News;https://www.antaranews.com/berita/5444830/iran-tetapkan-otoritas-kepemimpinan-sementara-usai-ali-khamenei-gugur;1 Maret 2026;;
IRGC umumkan operasi militer terbesar usai syahidnya Khamenei;Antara News;https://www.antaranews.com/berita/5444762/irgc-umumkan-operasi-militer-terbesar-usai-syahidnya-khamenei;1 Maret 2026;;
TV pemerintah Iran konfirmasi tewasnya Pemimpin Tertinggi Ali Khamenei;Antara News;https://www.antaranews.com/berita/5444710/tv-pemerintah-iran-konfirmasi-tewasnya-pemimpin-tertinggi-ali-khamenei;1 Maret 2026;;
Netanyahu sebut banyak tanda kemungkinan Khamenei telah tewas;Antara News;https://www.antaranews.com/video/5444678/netanyahu-sebut-banyak-tanda-kemungkinan-khamenei-telah-tewas;1 Maret 2026;;
AS klaim pemimpin tertinggi Iran Ayatollah Ali Khamenei tewas;Antara News;https://www.antaranews.com/berita/5444682/as-klaim-pemimpin-tertinggi-iran-ayatollah-ali-khamenei-tewas;1 Maret 2026;;
Khamenei sebut Trump bertanggung jawab atas kerusuhan Iran;Antara News;https://www.antaranews.com/berita/5358298/khamenei-sebut-trump-bertanggung-jawab-atas-kerusuhan-iran;18 Januari 2026;;
Negara-negara Teluk Arab peringatkan AS agar tidak serang Iran;Antara News;https://www.antaranews.com/berita/5351913/negara-negara-teluk-arab-peringatkan-as-agar-tidak-serang-iran;14 Januari 2026;;
Sindir Trump dengan gambar firaun; Khamenei: Tiran akan tumbang;Antara News;https://www.antaranews.com/berita/5347229/sindir-trump-dengan-gambar-firaun-khamenei-tiran-akan-tumbang;12 Januari 2026;
Pemimpin tertinggi Iran ingatkan demonstran soal campur tangan asing;Antara News;https://www.antaranews.com/berita/5342633/pemimpin-tertinggi-iran-ingatkan-demonstran-soal-campur-tangan-asing;9 Januari 2026;;
Senator AS: Trump ancam 'bunuh' pemimpin tertinggi Iran;Antara News;https://www.antaranews.com/berita/5337949/senator-as-trump-ancam-bunuh-pemimpin-tertinggi-iran;7 Januari 2026;;
Penasihat IRGC: Iran mampu serang Israel setiap hari selama 2 tahun;Antara News;https://www.antaranews.com/berita/4950869/penasihat-irgc-iran-mampu-serang-israel-setiap-hari-selama-2-tahun;8 Juli 2025;;
Gempuran disinformasi dalam perang 12 hari Iran- Israel;Antara News;https://www.antaranews.com/berita/4930149/gempuran-disinformasi-dalam-perang-12-hari-iran-israel;28 Juni 2025;;
Iran luncurkan serangan rudal ke pangkalan militer AS di Qatar;Antara News;https://www.antaranews.com/berita/4920801/iran-luncurkan-serangan-rudal-ke-pangkalan-militer-as-di-qatar;24 Juni 2025;;
